solverid,instanceid,runtime,status,score,vresult
anders_satsuma-iter-kissat[main],16f8b291c8cdedb5ca7210fa0eeb34d9,0.17,unsat-verified,0.17,unsat
anders_satsuma-iter-kissat[main],043c91001968a1fbd1ef419540fcb396,0.74,unsat-verified,0.74,unsat
anders_satsuma-iter-kissat[main],9ba8145e0d02318dea5507fc3ba03472,17.65,unsat-verified,17.65,unsat
anders_satsuma-iter-kissat[main],997491c0cbc3e558a3e3266e2a142215,0.18,unsat-verified,0.18,unsat
anders_satsuma-iter-kissat[main],6ddda96839bb24cd7389d5556d3ab16d,0.72,unsat-verified,0.72,unsat
anders_satsuma-iter-kissat[main],e5787bb4c8c29aa39b14a5e11387999d,0.36,unsat-verified,0.36,unsat
anders_satsuma-iter-kissat[main],65bf849f3e86ab275e339934f4d140a0,1.29,unsat-verified,1.29,unsat
anders_satsuma-iter-kissat[main],306a29e966fa6293d407bc7ebbc3ecb1,13.76,unsat-verified,13.76,unsat
anders_satsuma-iter-kissat[main],e91253303b915493090c1f4b59d9e969,4.27,unsat-verified,4.27,unsat
anders_satsuma-iter-kissat[main],0f1070ba60b55aa62d3a98798a14700e,0.18,unsat-verified,0.18,unsat
anders_satsuma-iter-kissat[main],d1335d8a6a98a1988b54e1f481a64fcf,0.31,unsat-verified,0.31,unsat
anders_satsuma-iter-kissat[main],7372171e2e794a98cda6540676608f32,0.20,unsat-verified,0.20,unsat
anders_satsuma-iter-kissat[main],65ee6b49612eccb7d213e4d950f23677,160.70,sat-verified,160.70,sat
anders_satsuma-iter-kissat[main],32e344a5ab3af245f982678d2b751c6d,5000.05,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],28dcc4119e1bbb5fbd3fdd8f4140f28d,31.82,sat-verified,31.82,sat
anders_satsuma-iter-kissat[main],0efcbd10294eb001b16b4d126923372f,2183.87,unsat-verified,2183.87,unsat
anders_satsuma-iter-kissat[main],01d6fa8efd18ebfecd06af408958477b,713.55,sat-verified,713.55,sat
anders_satsuma-iter-kissat[main],667341ee8c1dea3db613db317e2b2c33,431.13,unsat-verified,431.13,unsat
anders_satsuma-iter-kissat[main],80b163b706e0a16702173ec27f3d1331,5000.07,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],34360a677fc854189c982294853e6891,1041.81,sat-verified,1041.81,sat
anders_satsuma-iter-kissat[main],218f0eccbff400e06c9736bd759c1d3a,4.41,sat-verified,4.41,sat
anders_satsuma-iter-kissat[main],44196693d2cfdb787ba578eef4272f74,15.23,sat-verified,15.23,sat
anders_satsuma-iter-kissat[main],80bb5209e88def5643bf5593320b104f,495.86,sat-verified,495.86,sat
anders_satsuma-iter-kissat[main],d699355595398f0765c5f51c9d0ad852,15.20,sat-verified,15.20,sat
anders_satsuma-iter-kissat[main],365a02a7d781d655bb2a64d2273a2d0c,72.64,sat-verified,72.64,sat
anders_satsuma-iter-kissat[main],af8248aa34c4803bfc0add954cf2e620,2.45,sat-verified,2.45,sat
anders_satsuma-iter-kissat[main],d737aeb8e2eb9baed7f007056b3874af,5.55,sat-verified,5.55,sat
anders_satsuma-iter-kissat[main],3b608084b3caae2e9517a2d58cdcd275,61.76,sat-verified,61.76,sat
anders_satsuma-iter-kissat[main],f15a3ce898e0c66f309bf07d73744adf,15.82,sat-verified,15.82,sat
anders_satsuma-iter-kissat[main],2bb63853a9b8b9b9327a142210a9f437,122.95,sat-verified,122.95,sat
anders_satsuma-iter-kissat[main],ba7732774961fdf7508a998a41bd5366,34.22,unsat-verified,34.22,unsat
anders_satsuma-iter-kissat[main],fe776dd02d74e0d68a3e3fc3f9d934de,5000.03,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],0757e47d262b75171c0040987e6d20ce,5000.12,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],7cd6b940be001c46c6294d7cac9aa610,5000.05,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],4d6bd7b2c674fb67b271127586914b74,2631.21,sat-verified,2631.21,sat
anders_satsuma-iter-kissat[main],782b29d2d691fdc94e0ec5b899390e10,5000.11,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],68ef4b1ed6a28c75defea64bb7d53e06,5000.05,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],996bd6326ca560055b6fe916708dfdaa,837.58,unsat-verified,837.58,unsat
